City,State,Housing type,Project,Units,Sq. ft. per unit,Neighborhood,Neighborhood median income,Total duration (years),Total duration low,Total duration high,Total duration 95% CI,Permitting duration (years),Permitting low,Permitting high,Permitting 95% CI,Rank (longest first)
San Francisco,CA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$50,000",5.6,4.18,7.02,4.18–7.02,2.26,1.46,3.05,1.46–3.05,1
Washington,DC,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$50,000",3.41,2.41,4.41,2.41–4.41,1.07,0.61,1.53,0.61–1.53,2
Phoenix,AZ,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$50,000",3.16,2.93,3.39,2.93–3.39,2,1.71,2.28,1.71–2.28,3
Philadelphia,PA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$50,000",3.09,2.66,3.53,2.66–3.53,0.19,0.15,0.23,0.15–0.23,4
Miami,FL,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$50,000",3.06,2.23,3.89,2.23–3.89,1.47,1.06,1.88,1.06–1.88,5
Honolulu,HI,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$50,000",2.96,2.57,3.35,2.57–3.35,1.26,1,1.51,1–1.51,6
Seattle,WA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$50,000",2.77,2.52,3.03,2.52–3.03,0.86,0.75,0.97,0.75–0.97,7
New York,NY,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$50,000",2.71,2.59,2.84,2.59–2.84,0.76,0.69,0.82,0.69–0.82,8
Oakland,CA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$50,000",2.65,1.51,3.79,1.51–3.79,0.34,0.1,0.58,0.1–0.58,9
Los Angeles,CA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$50,000",2.52,2.23,2.81,2.23–2.81,1.06,0.89,1.24,0.89–1.24,10
Durham,NC,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$50,000",2.43,1.36,3.5,1.36–3.5,0.09,0.06,0.12,0.06–0.12,11
Boston,MA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$50,000",2.32,1.93,2.71,1.93–2.71,0.92,0.67,1.17,0.67–1.17,12
Providence,RI,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$50,000",2.1,1.41,2.8,1.41–2.8,0.09,0.03,0.16,0.03–0.16,13
Houston,TX,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$50,000",1.85,1.57,2.14,1.57–2.14,0.26,0.14,0.38,0.14–0.38,14
San Diego,CA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$50,000",1.8,1.47,2.12,1.47–2.12,0.54,0.39,0.7,0.39–0.7,15
Louisville,KY,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$50,000",1.75,1.29,2.21,1.29–2.21,0.22,0.11,0.34,0.11–0.34,16
Albuquerque,NM,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$50,000",1.74,1.13,2.36,1.13–2.36,0.43,0.24,0.62,0.24–0.62,17
New Orleans,LA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$50,000",1.65,1.39,1.91,1.39–1.91,0.22,0.17,0.27,0.17–0.27,18
Portland,OR,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$50,000",1.61,1.45,1.77,1.45–1.77,0.68,0.58,0.78,0.58–0.78,19
Atlanta,GA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$50,000",1.58,1.27,1.88,1.27–1.88,0.46,0.25,0.67,0.25–0.67,20
Tulsa,OK,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$50,000",1.52,1.06,1.97,1.06–1.97,0.69,0.43,0.94,0.43–0.94,21
Colorado Springs,CO,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$50,000",1.36,1.18,1.53,1.18–1.53,0.1,0.07,0.13,0.07–0.13,22
Austin,TX,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$50,000",1.34,1.23,1.45,1.23–1.45,0.28,0.23,0.33,0.23–0.33,23
Boise,ID,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$50,000",1.28,0.93,1.63,0.93–1.63,0.44,0.26,0.62,0.26–0.62,24
Tampa,FL,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$50,000",1.14,0.86,1.42,0.86–1.42,0.3,0.2,0.41,0.2–0.41,25
Orlando,FL,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$50,000",1.11,1,1.23,1–1.23,0.38,0.31,0.45,0.31–0.45,26
Jacksonville,FL,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$50,000",1.08,0.97,1.19,0.97–1.19,0.19,0.15,0.22,0.15–0.22,27
Nashville,TN,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$50,000",1.07,0.83,1.32,0.83–1.32,0.1,0.06,0.14,0.06–0.14,28
Baton Rouge,LA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$50,000",1.07,0.88,1.27,0.88–1.27,0.23,0.14,0.33,0.14–0.33,29
Columbus,OH,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$50,000",1.05,0.89,1.21,0.89–1.21,0.11,0.08,0.15,0.08–0.15,30
El Paso,TX,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$50,000",1.02,0.82,1.21,0.82–1.21,0.1,0.06,0.15,0.06–0.15,31
San Antonio,TX,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$50,000",0.89,0.71,1.07,0.71–1.07,0.05,0.02,0.08,0.02–0.08,32
Fort Worth,TX,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$50,000",0.89,0.79,0.99,0.79–0.99,0.15,0.12,0.19,0.12–0.19,33
Oklahoma City,OK,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$50,000",0.8,0.7,0.89,0.7–0.89,0.05,0.03,0.07,0.03–0.07,34
Denver,CO,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$50,000",0.52,0.35,0.7,0.35–0.7,0.11,-0.01,0.23,-0.01–0.23,35
Wilmington,NC,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$50,000",0.48,0.47,0.5,0.47–0.5,0,0,0,0–0,36
San Francisco,CA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$80,000",6.4,4.69,8.11,4.69–8.11,2.54,1.58,3.49,1.58–3.49,1
Phoenix,AZ,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$80,000",3.52,3.26,3.77,3.26–3.77,2.25,1.95,2.55,1.95–2.55,2
Philadelphia,PA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$80,000",3.27,2.8,3.75,2.8–3.75,0.19,0.15,0.24,0.15–0.24,3
Washington,DC,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$80,000",3.17,2.14,4.21,2.14–4.21,1.08,0.58,1.57,0.58–1.57,4
Miami,FL,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$80,000",3.14,2.24,4.05,2.24–4.05,1.34,0.93,1.75,0.93–1.75,5
Los Angeles,CA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$80,000",2.94,2.61,3.27,2.61–3.27,1.19,1,1.38,1–1.38,6
Honolulu,HI,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$80,000",2.86,2.59,3.14,2.59–3.14,1.17,1,1.35,1–1.35,7
Oakland,CA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$80,000",2.74,1.76,3.73,1.76–3.73,0.37,0.16,0.59,0.16–0.59,8
New York,NY,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$80,000",2.72,2.61,2.84,2.61–2.84,0.78,0.72,0.84,0.72–0.84,9
Durham,NC,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$80,000",2.56,1.65,3.47,1.65–3.47,0.08,0.06,0.11,0.06–0.11,10
Seattle,WA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$80,000",2.54,2.32,2.76,2.32–2.76,0.75,0.66,0.84,0.66–0.84,11
Boston,MA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$80,000",2.34,1.95,2.72,1.95–2.72,0.99,0.72,1.26,0.72–1.26,12
Providence,RI,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$80,000",2.06,1.36,2.76,1.36–2.76,0.08,0.02,0.13,0.02–0.13,13
Houston,TX,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$80,000",2.03,1.68,2.38,1.68–2.38,0.31,0.15,0.46,0.15–0.46,14
Boise,ID,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$80,000",1.99,1.44,2.55,1.44–2.55,0.57,0.37,0.77,0.37–0.77,15
Louisville,KY,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$80,000",1.9,1.4,2.4,1.4–2.4,0.26,0.12,0.39,0.12–0.39,16
San Diego,CA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$80,000",1.78,1.51,2.06,1.51–2.06,0.48,0.36,0.59,0.36–0.59,17
Tulsa,OK,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$80,000",1.73,1.24,2.22,1.24–2.22,0.8,0.51,1.09,0.51–1.09,18
Portland,OR,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$80,000",1.64,1.51,1.77,1.51–1.77,0.61,0.54,0.68,0.54–0.68,19
Boulder,CO,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$80,000",1.61,1.18,2.05,1.18–2.05,0.56,0.31,0.8,0.31–0.8,20
Albuquerque,NM,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$80,000",1.56,0.87,2.25,0.87–2.25,0.2,0.05,0.35,0.05–0.35,21
Atlanta,GA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$80,000",1.52,1.24,1.8,1.24–1.8,0.42,0.25,0.6,0.25–0.6,22
New Orleans,LA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$80,000",1.47,1.21,1.72,1.21–1.72,0.19,0.14,0.24,0.14–0.24,23
Austin,TX,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$80,000",1.47,1.36,1.57,1.36–1.57,0.26,0.22,0.29,0.22–0.29,24
Jacksonville,FL,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$80,000",1.44,1.28,1.59,1.28–1.59,0.31,0.25,0.37,0.25–0.37,25
Colorado Springs,CO,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$80,000",1.1,0.95,1.25,0.95–1.25,0.11,0.07,0.14,0.07–0.14,26
Columbus,OH,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$80,000",1.08,0.93,1.22,0.93–1.22,0.09,0.06,0.12,0.06–0.12,27
Tampa,FL,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$80,000",1.08,0.79,1.36,0.79–1.36,0.28,0.18,0.38,0.18–0.38,28
Baton Rouge,LA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$80,000",1.03,0.83,1.23,0.83–1.23,0.18,0.12,0.24,0.12–0.24,29
Fort Worth,TX,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$80,000",1.01,0.9,1.12,0.9–1.12,0.13,0.09,0.16,0.09–0.16,30
Nashville,TN,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$80,000",0.98,0.76,1.21,0.76–1.21,0.11,0.06,0.16,0.06–0.16,31
Orlando,FL,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$80,000",0.95,0.87,1.04,0.87–1.04,0.28,0.23,0.32,0.23–0.32,32
San Antonio,TX,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$80,000",0.9,0.71,1.09,0.71–1.09,0.05,0.02,0.07,0.02–0.07,33
El Paso,TX,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$80,000",0.88,0.72,1.03,0.72–1.03,0.09,0.04,0.14,0.04–0.14,34
Oklahoma City,OK,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$80,000",0.84,0.75,0.93,0.75–0.93,0.05,0.03,0.07,0.03–0.07,35
Denver,CO,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$80,000",0.61,0.45,0.78,0.45–0.78,0.11,0.01,0.22,0.01–0.22,36
Wilmington,NC,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$80,000",0.51,0.48,0.53,0.48–0.53,0,0,0,0–0,37
San Francisco,CA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$120,000",7.18,5.12,9.24,5.12–9.24,2.8,1.66,3.95,1.66–3.95,1
Phoenix,AZ,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$120,000",3.86,3.56,4.15,3.56–4.15,2.49,2.13,2.86,2.13–2.86,2
Philadelphia,PA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$120,000",3.43,2.92,3.95,2.92–3.95,0.2,0.15,0.24,0.15–0.24,3
Los Angeles,CA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$120,000",3.36,2.97,3.75,2.97–3.75,1.31,1.1,1.52,1.1–1.52,4
Miami,FL,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$120,000",3.22,2.2,4.23,2.2–4.23,1.24,0.82,1.66,0.82–1.66,5
Oakland,CA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$120,000",2.83,1.92,3.73,1.92–3.73,0.41,0.2,0.61,0.2–0.61,6
Honolulu,HI,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$120,000",2.78,2.5,3.06,2.5–3.06,1.1,0.94,1.27,0.94–1.27,7
New York,NY,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$120,000",2.73,2.62,2.84,2.62–2.84,0.8,0.74,0.86,0.74–0.86,8
Durham,NC,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$120,000",2.68,1.88,3.48,1.88–3.48,0.08,0.05,0.1,0.05–0.1,9
Boston,MA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$120,000",2.35,1.95,2.75,1.95–2.75,1.05,0.76,1.35,0.76–1.35,10
Seattle,WA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$120,000",2.35,2.14,2.55,2.14–2.55,0.67,0.59,0.75,0.59–0.75,11
Houston,TX,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$120,000",2.19,1.73,2.66,1.73–2.66,0.35,0.13,0.56,0.13–0.56,12
Louisville,KY,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$120,000",2.03,1.43,2.63,1.43–2.63,0.28,0.12,0.45,0.12–0.45,13
Providence,RI,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$120,000",2.03,1.28,2.78,1.28–2.78,0.07,0.02,0.11,0.02–0.11,14
Tulsa,OK,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$120,000",1.93,1.38,2.49,1.38–2.49,0.91,0.56,1.27,0.56–1.27,15
Jacksonville,FL,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$120,000",1.84,1.58,2.1,1.58–2.1,0.48,0.37,0.59,0.37–0.59,16
Boulder,CO,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$120,000",1.82,1.33,2.31,1.33–2.31,0.53,0.29,0.77,0.29–0.77,17
San Diego,CA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$120,000",1.77,1.5,2.04,1.5–2.04,0.43,0.33,0.52,0.33–0.52,18
Portland,OR,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$120,000",1.67,1.51,1.83,1.51–1.83,0.56,0.48,0.65,0.48–0.65,19
Austin,TX,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$120,000",1.58,1.45,1.71,1.45–1.71,0.24,0.2,0.27,0.2–0.27,20
Atlanta,GA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$120,000",1.47,1.2,1.74,1.2–1.74,0.39,0.23,0.55,0.23–0.55,21
New Orleans,LA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$120,000",1.32,1.07,1.57,1.07–1.57,0.16,0.11,0.21,0.11–0.21,22
Reno,NV,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$120,000",1.13,0.75,1.5,0.75–1.5,0.37,0.14,0.61,0.14–0.61,23
Fort Worth,TX,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$120,000",1.12,1,1.25,1–1.25,0.11,0.08,0.13,0.08–0.13,24
Columbus,OH,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$120,000",1.1,0.95,1.26,0.95–1.26,0.07,0.04,0.1,0.04–0.1,25
Tampa,FL,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$120,000",1.02,0.72,1.32,0.72–1.32,0.26,0.15,0.37,0.15–0.37,26
Baton Rouge,LA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$120,000",0.99,0.78,1.21,0.78–1.21,0.15,0.09,0.2,0.09–0.2,27
Colorado Springs,CO,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$120,000",0.92,0.78,1.05,0.78–1.05,0.11,0.07,0.15,0.07–0.15,28
San Antonio,TX,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$120,000",0.91,0.7,1.12,0.7–1.12,0.04,0.02,0.06,0.02–0.06,29
Nashville,TN,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$120,000",0.91,0.67,1.14,0.67–1.14,0.12,0.07,0.18,0.07–0.18,30
Oklahoma City,OK,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$120,000",0.88,0.78,0.98,0.78–0.98,0.05,0.03,0.07,0.03–0.07,31
Orlando,FL,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$120,000",0.83,0.74,0.92,0.74–0.92,0.21,0.17,0.26,0.17–0.26,32
El Paso,TX,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$120,000",0.77,0.59,0.94,0.59–0.94,0.08,0.02,0.13,0.02–0.13,33
Denver,CO,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$120,000",0.71,0.54,0.87,0.54–0.87,0.12,0.01,0.23,0.01–0.23,34
Wilmington,NC,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Low-density suburb (1,000/sq. mi.)","$120,000",0.53,0.49,0.57,0.49–0.57,0,0,0,0–0,35
Jersey City,NJ,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$50,000",4.1,2.4,5.81,2.4–5.81,0.33,0.11,0.55,0.11–0.55,1
San Francisco,CA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$50,000",3.71,3.02,4.4,3.02–4.4,1.38,1.02,1.74,1.02–1.74,2
Miami,FL,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$50,000",3.6,3.03,4.18,3.03–4.18,1.41,1.17,1.65,1.17–1.65,3
Washington,DC,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$50,000",3.04,2.47,3.61,2.47–3.61,0.99,0.76,1.23,0.76–1.23,4
Phoenix,AZ,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$50,000",3.03,2.82,3.25,2.82–3.25,1.64,1.44,1.84,1.44–1.84,5
Tulsa,OK,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$50,000",2.92,2.15,3.7,2.15–3.7,0.92,0.68,1.16,0.68–1.16,6
Fort Lauderdale,FL,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$50,000",2.8,2.3,3.31,2.3–3.31,1.3,0.94,1.65,0.94–1.65,7
Philadelphia,PA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$50,000",2.8,2.57,3.02,2.57–3.02,0.21,0.18,0.23,0.18–0.23,8
New York,NY,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$50,000",2.78,2.68,2.88,2.68–2.88,0.8,0.75,0.85,0.75–0.85,9
Oakland,CA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$50,000",2.74,1.99,3.49,1.99–3.49,0.42,0.22,0.63,0.22–0.63,10
Honolulu,HI,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$50,000",2.58,2.27,2.89,2.27–2.89,1.08,0.89,1.27,0.89–1.27,11
Boston,MA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$50,000",2.5,2.19,2.82,2.19–2.82,1,0.8,1.2,0.8–1.2,12
Seattle,WA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$50,000",2.47,2.33,2.62,2.33–2.62,0.78,0.71,0.84,0.71–0.84,13
Los Angeles,CA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$50,000",2.27,2.1,2.43,2.1–2.43,0.81,0.73,0.89,0.73–0.89,14
Albuquerque,NM,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$50,000",2.06,1.47,2.64,1.47–2.64,0.39,0.22,0.56,0.22–0.56,15
San Diego,CA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$50,000",1.95,1.7,2.2,1.7–2.2,0.67,0.54,0.8,0.54–0.8,16
Louisville,KY,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$50,000",1.9,1.3,2.5,1.3–2.5,0.22,0.11,0.33,0.11–0.33,17
Providence,RI,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$50,000",1.81,1.4,2.22,1.4–2.22,0.12,0.07,0.16,0.07–0.16,18
Cleveland,OH,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$50,000",1.78,1.42,2.14,1.42–2.14,0.45,0.31,0.6,0.31–0.6,19
Durham,NC,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$50,000",1.58,1.2,1.97,1.2–1.97,0.18,0.15,0.22,0.15–0.22,20
Sacramento,CA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$50,000",1.58,1.39,1.77,1.39–1.77,0.45,0.34,0.56,0.34–0.56,21
Houston,TX,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$50,000",1.57,1.41,1.73,1.41–1.73,0.23,0.18,0.29,0.18–0.29,22
Atlanta,GA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$50,000",1.55,1.35,1.76,1.35–1.76,0.38,0.28,0.48,0.28–0.48,23
Portland,OR,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)","$50,000",1.5,1.4,1.6,1.4–1.6,0.61,0.55,0.68,0.55–0.68,24
