City,State,Housing type,Project,Units,Sq. ft. per unit,Neighborhood,Total duration (years),Total duration low,Total duration high,Total duration 95% CI,Permitting duration (years),Permitting low,Permitting high,Permitting 95% CI,Rank (longest first)
New York,NY,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)",2.79,2.69,2.88,2.69–2.88,0.82,0.78,0.87,0.78–0.87,9
Fort Lauderdale,FL,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)",2.71,2.15,3.27,2.15–3.27,1.11,0.8,1.42,0.8–1.42,10
Los Angeles,CA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)",2.65,2.44,2.85,2.44–2.85,0.91,0.81,1,0.81–1,11
Boston,MA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)",2.52,2.21,2.84,2.21–2.84,1.07,0.87,1.28,0.87–1.28,12
Honolulu,HI,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)",2.5,2.28,2.71,2.28–2.71,1.01,0.89,1.13,0.89–1.13,13
Seattle,WA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)",2.26,2.15,2.38,2.15–2.38,0.68,0.63,0.73,0.63–0.73,14
Cleveland,OH,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)",2.16,1.6,2.72,1.6–2.72,0.51,0.32,0.7,0.32–0.7,15
Boise,ID,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)",2.12,1.29,2.94,1.29–2.94,0.44,0.23,0.65,0.23–0.65,16
Louisville,KY,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)",2.06,1.35,2.77,1.35–2.77,0.25,0.12,0.38,0.12–0.38,17
San Diego,CA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)",1.94,1.72,2.16,1.72–2.16,0.59,0.49,0.68,0.49–0.68,18
Albuquerque,NM,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)",1.84,1.07,2.61,1.07–2.61,0.18,0.07,0.29,0.07–0.29,19
Jacksonville,FL,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)",1.82,1.59,2.06,1.59–2.06,0.47,0.37,0.58,0.37–0.58,20
Providence,RI,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)",1.77,1.33,2.21,1.33–2.21,0.1,0.05,0.14,0.05–0.14,21
Houston,TX,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)",1.72,1.46,1.97,1.46–1.97,0.27,0.18,0.36,0.18–0.36,22
Boulder,CO,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)",1.71,1.41,2,1.41–2,0.75,0.46,1.05,0.46–1.05,23
Durham,NC,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)",1.67,1.21,2.12,1.21–2.12,0.17,0.13,0.21,0.13–0.21,24
Sacramento,CA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)",1.61,1.37,1.86,1.37–1.86,0.36,0.24,0.49,0.24–0.49,25
Portland,OR,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)",1.53,1.45,1.61,1.45–1.61,0.55,0.51,0.6,0.51–0.6,26
Atlanta,GA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)",1.5,1.31,1.68,1.31–1.68,0.35,0.26,0.44,0.26–0.44,27
Austin,TX,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)",1.43,1.35,1.52,1.35–1.52,0.3,0.27,0.33,0.27–0.33,28
Columbus,OH,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)",1.25,1.1,1.4,1.1–1.4,0.09,0.07,0.12,0.07–0.12,29
Tampa,FL,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)",1.23,1.01,1.46,1.01–1.46,0.34,0.24,0.43,0.24–0.43,30
Reno,NV,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)",1.23,0.98,1.49,0.98–1.49,0.37,0.2,0.54,0.2–0.54,31
San Antonio,TX,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)",1.21,0.98,1.44,0.98–1.44,0.13,0.08,0.17,0.08–0.17,32
Nashville,TN,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)",1.21,0.96,1.46,0.96–1.46,0.14,0.09,0.2,0.09–0.2,33
Colorado Springs,CO,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)",1.2,1.05,1.34,1.05–1.34,0.12,0.08,0.16,0.08–0.16,34
Fort Worth,TX,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"City neighborhood (4,000/sq. mi.)",1.13,1.02,1.24,1.02–1.24,0.12,0.09,0.15,0.09–0.15,35
